Name,Client,Budget,Charge-out Rate,Total Input,Unit,Staff Mode,Notes
Harrington Forest,Harrington Grove Estate,,,,days,flexible,Contact: Ashley | Email: ashley@adrmanagement.com.au
Parrots Farm,Camden Council,,,,days,flexible,Contact: Kaitlyn | Email: kaitlyn.furze@camden.nsw.gov.au
Olive Hill Dr Riparian,Camden Council Kaitlyn,,,,days,flexible,Contact: Kaitlyn | Email: kaitlyn.furze@camden.nsw.gov.au
Courtney Loop Riparian,Camden Council,,,,days,flexible,Contact: Kaitlyn | Email: kaitlyn.furze@camden.nsw.gov.au
Catherine Park Riparian,Camden Council,,,,days,flexible,Contact: Kaitlyn | Email: kaitlyn.furze@camden.nsw.gov.au
Kirkham Rise Riparian,Camden Council,,,,days,flexible,Contact: Kaitlyn | Email: kaitlyn.furze@camden.nsw.gov.au
Jack Brabham,Camden Council,,,,days,flexible,Contact: Kaitlyn | Email: kaitlyn.furze@camden.nsw.gov.au
Kavanaugh Riparian,Camden Council,,,,days,flexible,Contact: Kaitlyn | Email: kaitlyn.furze@camden.nsw.gov.au
Cloverhill Riparian,Camden Council,,,,days,flexible,Contact: Kaitlyn | Email: kaitlyn.furze@camden.nsw.gov.au
Emerald Hills Riparian,Camden Council,,,,days,flexible,Contact: Kaitlyn | Email: kaitlyn.furze@camden.nsw.gov.au
EBSF Zone C,Camden Council,,,,days,flexible,Contact: Steven | Email: steven.robertson@camden.nsw.gov.au
EBSF Zone B,Camden Council,,,,days,flexible,Contact: Steven | Email: steven.robertson@camden.nsw.gov.au
Soil Translocation,Camden Council,,,,days,flexible,Contact: Steven | Email: steven.robertson@camden.nsw.gov.au
Basins East,Camden Council,,,,days,flexible,Contact: Andrew | Email: andrew.gleeson@camden.nsw.gov.au
Basins North,Camden Council,,,,days,flexible,Contact: Andrew | Email: andrew.gleeson@camden.nsw.gov.au
Basins South,Camden Council,,,,days,flexible,Contact: Andrew | Email: andrew.gleeson@camden.nsw.gov.au
Rubbish Collection,Camden Council,,,,days,flexible,Contact: Andrew | Email: andrew.gleeson@camden.nsw.gov.au
WSPT High Vol,Western Sydney Parklands,,,,days,flexible,Contact: Zach | Email: zach.muldoon@gsp.nsw.gov.au
WSPT Bush Regen,Western Sydney Parklands,,,,days,flexible,Contact: Zach | Email: zach.muldoon@gsp.nsw.gov.au
Wonga Rd Regen,Liverpool Council,,,,days,flexible,Contact: Kyran | Email: coogank@liverpool.nsw.gov.au
Daintree Park,Liverpool Council,,,,days,flexible,Contact: Kyran | Email: coogank@liverpool.nsw.gov.au
Sixth Ave Follow Up,Liverpool Council,,,,days,flexible,Contact: Kyran | Email: coogank@liverpool.nsw.gov.au
Liverpool Weir,Liverpool Council,,,,days,flexible,Contact: Kyran | Email: coogank@liverpool.nsw.gov.au
Mt Annan Rd Verge,Mt Annan Botanic Gardens,,,,days,flexible,Contact: David | Email: david.khoury@botanicgardens.nsw.gov.au
Mt Annan Mens Shed,Mt Annan Botanic Gardens,,,,days,flexible,Contact: David | Email: david.khoury@botanicgardens.nsw.gov.au
Mt Annan Slashing,Mt Annan Botanic Gardens,,,,days,flexible,Contact: David | Email: david.khoury@botanicgardens.nsw.gov.au
Mt Annan High Vol,Mt Annan Botanic Gardens,,,,days,flexible,Contact: David | Email: david.khoury@botanicgardens.nsw.gov.au
Mt Annan Chainsaw,Mt Annan Botanic Gardens,,,,days,flexible,Contact: David | Email: david.khoury@botanicgardens.nsw.gov.au
Bulga Stock Reserve,Singleton Council,,,,days,flexible,Contact: Mitch | Email: mmoy@singleton.nsw.gov.au
The Ranges,Benaiah,,,,days,flexible,Contact: Sam | Email: sam.emerson@benaiah.com.au
Penrith Wildlife Watering,Soil Conservation Service,,,,days,flexible,Contact: Kirby | Email: kirby.duff@scs.nsw.gov.au
Penrith Wildlife Lake,Soil Conservation Service,,,,days,flexible,Contact: Kirby | Email: kirby.duff@scs.nsw.gov.au
Factory Road,Mulgoa Landcare,,,,days,flexible,Contact: Lisa | Email: lisa@mulgoalandcare.org.au
Gow Park,Mulgoa Landcare,,,,days,flexible,Contact: Lisa | Email: lisa@mulgoalandcare.org.au
Mulgoa Road Site,Mulgoa Landcare,,,,days,flexible,Contact: Lisa | Email: lisa@mulgoalandcare.org.au
Orangeville Biobank,Shaun Grimston,,,,days,flexible,Contact: Shaun | Email: grimston83@gmail.com
WSPT Central,Western Sydney Parklands,,,,days,flexible,Contact: Amara | Email: Amara.Glynn@gsp.nsw.gov.au
Parrots Farm,Camden Council,,,,days,flexible,Contact: Grant | Email: Grant. Dell@camden.nsw.gov.au
